L0,L1,L2,L3,L4,L5,L6,L7,L8,L9
16,10,5,3,1,0,0,0,0,0
17,10,5,3,1,0,0,0,0,0
17,10,5,3,1,0,0,0,0,0
17,10,5,3,1,0,0,0,0,0
17,10,5,3,1,0,0,0,0,0
17,11,5,3,1,0,0,0,0,0
18,11,5,3,1,0,0,0,0,0
18,11,5,3,1,0,0,0,0,0
18,11,5,3,1,0,0,0,0,0
18,11,5,3,1,0,0,0,0,0
18,11,5,3,1,0,0,0,0,0
19,11,5,3,1,0,0,0,0,0
19,11,5,3,1,0,0,0,0,0
19,11,5,3,1,0,0,0,0,0
19,11,5,3,1,0,0,0,0,0
19,11,5,3,1,0,0,0,0,0
20,11,5,3,1,0,0,0,0,0
20,11,5,3,1,0,0,0,0,0
20,11,5,3,1,0,0,0,0,0
20,11,5,3,1,0,0,0,0,0
20,11,5,3,1,0,0,0,0,0
21,11,5,3,1,0,0,0,0,0
21,11,5,3,1,0,0,0,0,0
21,11,5,3,1,0,0,0,0,0
21,11,5,3,1,0,0,0,0,0
21,11,5,3,1,0,0,0,0,0
22,11,5,3,1,0,0,0,0,0
22,11,5,3,1,0,0,0,0,0
22,11,5,3,1,0,0,0,0,0
22,11,5,3,1,0,0,0,0,0
22,12,5,3,1,0,0,0,0,0
23,12,5,3,1,0,0,0,0,0
23,12,5,3,1,0,0,0,0,0
23,12,5,3,1,0,0,0,0,0
23,12,5,3,1,0,0,0,0,0
23,12,5,3,1,0,0,0,0,0
24,12,5,3,1,0,0,0,0,0
24,12,5,3,1,0,0,0,0,0
24,12,5,3,1,0,0,0,0,0
24,12,5,3,1,0,0,0,0,0
24,12,5,3,1,0,0,0,0,0
25,12,5,3,1,0,0,0,0,0
25,12,5,3,1,0,0,0,0,0
25,12,5,3,1,0,0,0,0,0
25,12,5,3,1,0,0,0,0,0
25,12,5,3,1,0,0,0,0,0
26,12,5,3,1,0,0,0,0,0
26,12,5,3,1,0,0,0,0,0
26,12,5,3,1,0,0,0,0,0
26,12,5,3,1,0,0,0,0,0
26,13,5,3,1,0,0,0,0,0
27,13,5,3,1,0,0,0,0,0
27,13,5,3,1,0,0,0,0,0
27,13,5,3,1,0,0,0,0,0
27,13,5,3,1,0,0,0,0,0
27,13,5,3,1,0,0,0,0,0
28,13,5,3,1,0,0,0,0,0
