L0,L1,L2,L3,L4,L5,L6,L7,L8,L9
0,0,0,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
2,1,1,1,1,0,0,0,0,0
2,1,1,1,1,0,0,0,0,0
2,1,1,2,1,0,0,0,0,0
2,1,2,2,1,0,0,0,0,0
2,2,2,2,1,0,0,0,0,0
3,2,2,2,1,0,0,0,0,0
3,2,2,2,1,0,0,0,0,0
3,2,2,2,1,0,0,0,0,0
3,2,2,2,1,0,0,0,0,0
3,2,2,2,1,0,0,0,0,0
4,2,2,2,1,0,0,0,0,0
4,2,2,2,1,0,0,0,0,0
4,2,2,2,1,0,0,0,0,0
4,2,3,2,1,0,0,0,0,0
4,3,3,2,1,0,0,0,0,0
5,3,3,2,1,0,0,0,0,0
5,3,3,2,1,0,0,0,0,0
5,3,3,2,1,0,0,0,0,0
5,3,3,2,1,0,0,0,0,0
5,3,3,2,1,0,0,0,0,0
6,3,3,2,1,0,0,0,0,0
6,3,3,2,1,0,0,0,0,0
6,3,3,2,1,0,0,0,0,0
6,3,3,2,1,0,0,0,0,0
6,3,3,2,1,0,0,0,0,0
7,3,3,2,1,0,0,0,0,0
7,3,3,2,1,0,0,0,0,0
7,3,3,2,1,0,0,0,0,0
7,3,3,2,1,0,0,0,0,0
7,4,3,2,1,0,0,0,0,0
8,4,3,2,1,0,0,0,0,0
8,4,3,2,1,0,0,0,0,0
8,4,3,2,1,0,0,0,0,0
8,4,3,2,1,0,0,0,0,0
8,4,3,2,1,0,0,0,0,0
9,4,3,2,1,0,0,0,0,0
9,4,3,2,1,0,0,0,0,0
9,4,3,2,1,0,0,0,0,0
9,4,3,2,1,0,0,0,0,0
9,4,3,2,1,0,0,0,0,0
10,4,3,2,1,0,0,0,0,0
10,4,3,2,1,0,0,0,0,0
10,4,3,2,1,0,0,0,0,0
10,4,3,2,1,0,0,0,0,0
10,5,3,2,1,0,0,0,0,0
11,5,3,2,1,0,0,0,0,0
11,5,3,2,1,0,0,0,0,0
11,5,3,2,1,0,0,0,0,0
11,5,3,2,1,0,0,0,0,0
11,6,3,2,1,0,0,0,0,0
12,6,3,2,1,0,0,0,0,0
12,6,3,2,1,0,0,0,0,0
12,6,3,2,1,0,0,0,0,0
12,6,3,2,1,0,0,0,0,0
12,7,3,2,1,0,0,0,0,0
13,7,3,2,1,0,0,0,0,0
13,7,3,2,1,0,0,0,0,0
13,7,3,2,1,0,0,0,0,0
13,7,3,2,1,0,0,0,0,0
13,7,3,2,1,0,0,0,0,0
14,7,3,2,1,0,0,0,0,0
14,7,3,2,1,0,0,0,0,0
14,7,3,2,1,0,0,0,0,0
14,7,3,2,1,0,0,0,0,0
14,8,3,2,1,0,0,0,0,0
15,8,3,2,1,0,0,0,0,0
15,8,3,2,1,0,0,0,0,0
15,8,3,2,1,0,0,0,0,0
15,8,3,2,1,0,0,0,0,0
15,9,3,2,1,0,0,0,0,0
16,9,3,2,1,0,0,0,0,0
16,9,3,2,1,0,0,0,0,0
16,9,3,2,1,0,0,0,0,0
16,9,3,2,1,0,0,0,0,0
16,9,3,2,1,0,0,0,0,0
17,9,3,2,1,0,0,0,0,0
17,9,3,2,1,0,0,0,0,0
17,9,3,2,1,0,0,0,0,0
17,9,3,2,1,0,0,0,0,0
17,10,3,2,1,0,0,0,0,0
18,10,3,2,1,0,0,0,0,0
18,10,3,2,1,0,0,0,0,0
18,10,3,2,1,0,0,0,0,0
18,10,4,2,1,0,0,0,0,0
18,11,4,2,1,0,0,0,0,0
19,11,4,2,1,0,0,0,0,0
19,11,4,2,1,0,0,0,0,0
19,11,4,2,1,0,0,0,0,0
19,11,4,2,1,0,0,0,0,0
19,11,4,2,1,0,0,0,0,0
20,11,4,2,1,0,0,0,0,0
20,11,4,2,1,0,0,0,0,0
20,11,4,2,1,0,0,0,0,0
20,11,4,2,1,0,0,0,0,0
20,11,4,2,1,0,0,0,0,0
21,11,4,2,1,0,0,0,0,0
21,11,4,2,1,0,0,0,0,0
21,11,4,2,1,0,0,0,0,0
21,11,4,2,1,0,0,0,0,0
21,11,4,2,1,0,0,0,0,0
22,11,4,2,1,0,0,0,0,0
22,11,4,2,1,0,0,0,0,0
22,11,4,2,1,0,0,0,0,0
22,11,4,2,1,0,0,0,0,0
22,11,4,2,1,0,0,0,0,0
23,11,4,2,1,0,0,0,0,0
23,11,4,2,1,0,0,0,0,0
23,11,4,3,1,0,0,0,0,0
23,11,5,3,1,0,0,0,0,0
23,12,5,3,1,0,0,0,0,0
24,12,5,3,1,0,0,0,0,0
24,12,5,3,1,0,0,0,0,0
24,12,5,3,1,0,0,0,0,0
24,12,5,3,1,0,0,0,0,0
24,13,5,3,1,0,0,0,0,0
25,13,5,3,1,0,0,0,0,0
25,13,5,3,1,0,0,0,0,0
25,13,5,3,1,0,0,0,0,0
25,13,5,3,1,0,0,0,0,0
