L0,L1,L2,L3,L4,L5,L6,L7,L8,L9
0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0,0
5,3,1,0,0,0,0,0,0,0
5,4,1,0,0,0,0,0,0,0
6,4,1,0,0,0,0,0,0,0
6,4,1,0,0,0,0,0,0,0
6,5,1,0,0,0,0,0,0,0
7,5,1,0,0,0,0,0,0,0
7,5,2,0,0,0,0,0,0,0
7,6,2,0,0,0,0,0,0,0
8,6,2,0,0,0,0,0,0,0
8,6,2,0,0,0,1,0,0,0
8,6,2,0,0,1,1,0,0,0
8,6,2,0,1,1,1,0,0,0
8,6,2,1,1,1,1,0,0,0
8,6,3,1,1,1,1,0,0,0
8,7,3,1,1,1,1,0,0,0
9,7,3,1,1,1,1,0,0,0
9,7,3,1,1,1,1,0,0,0
9,7,3,1,1,1,1,0,0,0
9,7,3,1,1,1,1,0,0,0
9,7,3,1,1,1,1,0,0,0
9,7,3,1,1,1,1,0,0,0
9,7,3,1,1,1,1,0,0,0
10,7,3,1,1,1,1,0,0,0
10,7,3,1,1,1,1,0,0,0
10,7,3,1,1,1,1,0,0,0
10,7,3,1,1,1,1,0,0,0
10,7,3,1,1,1,1,0,0,0
10,7,3,1,1,1,1,0,0,0
10,8,3,1,1,1,1,0,0,0
11,8,3,1,1,1,1,0,0,0
11,8,3,1,1,1,1,0,0,0
11,8,3,1,1,1,1,0,0,0
11,8,3,1,1,1,1,0,0,0
11,8,3,1,1,1,1,0,0,0
11,8,3,1,1,1,1,0,0,0
11,8,3,1,1,1,1,0,0,0
12,8,3,1,1,1,1,0,0,0
12,8,3,1,1,1,1,0,0,0
12,8,3,1,1,1,1,0,0,0
12,8,3,1,1,1,1,0,0,0
12,8,3,1,1,1,1,0,0,0
12,8,3,1,1,1,1,0,0,0
12,8,3,1,1,1,1,0,0,0
13,8,3,1,1,1,1,0,0,0
13,8,3,1,1,1,1,0,0,0
13,8,3,1,1,1,1,0,0,0
13,8,3,1,1,1,1,0,0,0
13,8,3,1,1,1,1,0,0,0
13,8,3,1,1,1,1,0,0,0
13,8,3,1,1,1,1,0,0,0
14,8,3,1,1,1,1,0,0,0
14,8,3,1,1,1,1,0,0,0
14,8,3,1,1,1,1,0,0,0
14,8,3,1,1,1,1,0,0,0
14,8,3,1,1,1,1,0,0,0
14,8,4,1,1,1,1,0,0,0
14,9,4,1,1,1,1,0,0,0
15,9,4,1,1,1,1,0,0,0
15,9,4,1,1,1,1,0,0,0
15,9,4,1,1,1,1,0,0,0
15,9,4,1,1,1,1,0,0,0
15,9,4,1,1,1,1,0,0,0
15,9,4,1,1,1,1,0,0,0
15,9,4,1,1,1,1,0,0,0
16,9,4,1,1,1,1,0,0,0
16,9,4,1,1,1,1,0,0,0
16,9,4,1,1,1,1,0,0,0
16,9,4,1,1,1,1,0,0,0
16,9,4,1,1,1,1,0,0,0
16,9,4,1,1,1,1,0,0,0
16,10,4,1,1,1,1,0,0,0
17,10,4,1,1,1,1,0,0,0
17,10,4,1,1,1,1,0,0,0
17,10,4,1,1,1,1,0,0,0
17,10,4,1,1,1,1,0,0,0
17,10,4,1,1,1,1,0,0,0
17,10,4,1,1,1,1,0,0,0
17,10,4,1,1,1,1,0,0,0
18,10,4,1,1,1,1,0,0,0
18,10,4,1,1,1,1,0,0,0
18,10,4,1,1,1,1,0,0,0
18,10,4,1,1,1,1,0,0,0
18,10,4,1,1,1,1,0,0,0
18,10,4,1,1,1,1,0,0,0
18,10,4,1,1,1,1,0,0,0
19,10,4,1,1,1,1,0,0,0
19,10,4,1,1,1,1,0,0,0
19,10,4,1,1,1,1,0,0,0
19,10,4,1,1,1,1,0,0,0
19,10,4,1,1,1,1,0,0,0
19,10,4,1,1,1,1,0,0,0
19,11,4,1,1,1,1,0,0,0
20,11,4,1,1,1,1,0,0,0
20,11,4,1,1,1,1,0,0,0
20,11,4,1,1,1,1,0,0,0
20,11,4,1,1,1,1,0,0,0
20,11,4,1,1,1,1,0,0,0
20,11,4,1,1,1,1,0,0,0
20,12,4,1,1,1,1,0,0,0
21,12,4,1,1,1,1,0,0,0
21,12,4,1,1,1,1,0,0,0
21,12,4,1,1,1,1,0,0,0
21,12,4,1,1,1,1,0,0,0
21,12,4,2,1,1,1,0,0,0
21,12,5,2,1,1,1,0,0,0
21,13,5,2,1,1,1,0,0,0
22,13,5,2,1,1,1,0,0,0
22,13,5,2,1,1,1,0,0,0
22,13,5,2,1,2,1,0,0,0
22,13,5,2,2,2,1,0,0,0
22,13,5,3,2,2,1,0,0,0
22,13,6,3,2,2,1,0,0,0
22,14,6,3,2,2,1,0,0,0
23,14,6,3,2,2,1,0,0,0
23,14,6,3,2,2,1,0,0,0
23,14,6,3,2,2,1,0,0,0
23,14,6,3,2,2,1,0,0,0
23,14,6,3,2,2,1,0,0,0
23,14,6,3,2,2,1,0,0,0
23,14,6,3,2,2,1,0,0,0
24,14,6,3,2,2,1,0,0,0
24,14,6,3,2,2,1,0,0,0
24,14,6,3,2,2,1,0,0,0
24,14,6,3,2,2,1,0,0,0
24,14,6,3,2,2,1,0,0,0
24,14,7,3,2,2,1,0,0,0
24,15,7,3,2,2,1,0,0,0
25,15,7,3,2,2,1,0,0,0
25,15,7,3,2,2,1,0,0,0
25,15,7,3,2,2,1,0,0,0
25,15,7,3,2,2,1,0,0,0
25,15,7,3,2,2,1,0,0,0
25,15,8,3,2,2,1,0,0,0
25,16,8,3,2,2,1,0,0,0
26,16,8,3,2,2,1,0,0,0
26,16,8,3,2,2,1,0,0,0
26,16,8,3,2,2,1,0,0,0
26,16,8,3,2,2,1,0,0,0
26,16,8,3,2,2,1,0,0,0
26,16,8,3,2,2,1,0,0,0
26,16,8,3,2,2,1,0,0,0
27,16,8,3,2,2,1,0,0,0
27,16,8,3,2,2,1,0,0,0
27,16,8,3,2,2,1,0,0,0
27,16,8,3,2,2,1,0,0,0
27,16,8,3,2,2,1,0,0,0
27,16,8,3,2,2,1,0,0,0
27,16,8,3,2,2,1,0,0,0
28,16,8,3,2,2,1,0,0,0
28,16,8,3,2,2,1,0,0,0
28,16,8,3,2,2,1,0,0,0
28,16,8,3,2,2,1,0,0,0
28,16,8,3,2,2,1,0,0,0
28,16,8,3,2,2,1,0,0,0
28,17,8,3,2,2,1,0,0,0
29,17,8,3,2,2,1,0,0,0
29,17,8,3,2,2,1,0,0,0
29,17,8,3,2,2,1,0,0,0
29,17,8,3,2,2,1,0,0,0
29,17,8,3,2,2,1,0,0,0
29,17,8,3,2,2,1,0,0,0
29,17,8,3,2,2,1,0,0,0
30,17,8,3,2,2,1,0,0,0
30,17,8,3,2,2,1,0,0,0
30,17,8,3,2,2,1,0,0,0
30,17,8,3,2,2,1,0,0,0
30,17,8,3,2,2,1,0,0,0
30,17,9,3,2,2,1,0,0,0
30,18,9,3,2,2,1,0,0,0
31,18,9,3,2,2,1,0,0,0
31,18,9,3,2,2,1,0,0,0
31,18,9,3,2,2,1,0,0,0
31,18,9,3,2,2,1,0,0,0
31,18,9,3,2,2,1,0,0,0
31,18,9,3,2,2,1,0,0,0
31,18,9,3,2,2,1,0,0,0
